id,path,obj,calctime,nr_milp,nr_nlp
0,name,NAN,NAN,NAN,NAN
1,batch,285506.91057224385,0.110934329,39,3
2,batch0812,2705842.8525372744,0.31709796199999996,29,8
3,batchdes,167427.73779460439,0.047965545,9,2
4,clay0203hfsg,41573.072310041483,0.274896144,4,3
5,clay0204hfsg,6544.9998820007277,1.003186833,4,4
6,clay0205hfsg,8092.499859901237,3.778141318,4,3
7,clay0303hfsg,26669.092175553928,0.979395187,13,5
8,clay0304hfsg,40262.387440997947,4.831015237,9,10
9,clay0305hfsg,8092.4998599011451,6.820155356,15,8
10,cvxnonsep_normcon20,-21.719247990639417,0.021526086,0,0
11,cvxnonsep_normcon30,-34.243965742743029,0.028475537,0,1
12,cvxnonsep_normcon40,-32.629669718429504,0.033069458,0,1
13,cvxnonsep_nsig20,80.999857231192038,0.085984744,4,4
14,cvxnonsep_nsig20r,80.989026230704965,0.174943293,4,4
15,cvxnonsep_nsig30,130.960522840875,0.063447467,3,2
16,cvxnonsep_nsig30r,156.89468005713294,0.129920212,3,3
17,cvxnonsep_nsig40,134.32617080834663,0.073859026,6,2
18,cvxnonsep_nsig40r,134.42248012388035,0.123382733,5,2
19,cvxnonsep_pcon20,-21.50052287035874,0.040714526,12,1
20,cvxnonsep_pcon20r,-21.433368728362172,0.073014204,14,2
21,enpro48pb,187277.25616536423,0.164159481,13,2
22,enpro56pb,263428.2956682251,0.398923545,16,7
23,ex1223,4.5795824024367082,0.014877412,2,0
24,ex1223b,4.579635269139426,0.01396059,2,0
25,fac1,160912612.350169,0.04148756000000001,24,1
26,fac2,331837498.17677003,0.07942441900000001,22,1
27,flay02h,37.947317409314628,0.06430427600000001,7,3
28,flay02m,37.947304294012142,0.050234464,7,3
29,flay03h,48.989662935929339,0.26374773,15,8
30,flay03m,48.989777079530882,0.232063929,22,8
31,flay04h,54.405861658716383,1.33721703,6,15
32,flay04m,54.405858510937541,0.701405864,14,19
33,flay05h,64.49782653292003,93.375559827,8,88
34,flay05m,64.498061758129978,299.999909774,122,20
35,flay06h,66.932801042600545,299.999436409,17,7
36,flay06m,66.932801899240872,299.999872485,21,19
37,fo7,20.729814312203661,19.505519859,6,4
38,fo7_2,17.749258882483975,11.568654076000001,8,5
39,fo7_ar25_1,23.09356719166291,22.850342783000002,10,7
40,fo7_ar2_1,24.839844332131552,40.0338943,3,5
41,fo7_ar3_1,22.517454775285916,24.493246135000003,11,4
42,fo7_ar4_1,20.729821810873684,48.393667491,5,11
43,fo7_ar5_1,17.749327769478516,19.119790433,12,4
44,fo8,22.381893669451163,116.39667083699999,7,9
45,fo8_ar25_1,28.045180832528047,220.73555299999998,11,19
46,fo8_ar2_1,30.34060783078634,165.168253914,3,13
47,fo8_ar3_1,23.910051578933796,88.063650117,14,17
48,fo8_ar4_1,22.381892638634394,106.18728433300001,13,4
49,fo8_ar5_1,22.38188946749219,93.5093715,11,10
50,fo9,23.464282788232858,172.703346458,6,18
51,fo9_ar25_1,32.186413558665642,300.035333476,11,12
52,fo9_ar2_1,32.624991558231578,300.000080965,3,12
53,fo9_ar3_1,24.8154758792945,160.358999351,14,17
54,fo9_ar4_1,23.464282715140826,196.24256137400002,13,6
55,fo9_ar5_1,25.749999641971577,300.00981908399996,5,11
56,gear2,2.3576406580194936e-09,0.33641543199999996,42,42
57,gear3,0.00013622222271739669,0.099226704,46,14
58,jit1,173983.32998164679,0.038128624,13,1
59,m3,37.799645813514132,0.025441502,5,0
60,m6,82.25687687037609,0.194927536,5,1
61,m7,106.75687690839531,0.989286457,4,4
62,m7_ar25_1,143.58499683479664,0.388070956,2,2
63,m7_ar2_1,190.23497722319399,1.190148023,2,1
64,m7_ar3_1,143.58499690795955,2.0185968130000003,2,3
65,m7_ar4_1,106.75687586181051,1.098063983,3,4
66,m7_ar5_1,106.46000576000233,4.420549154,3,4
67,no7_ar25_1,107.8151906043379,38.185501535,2,12
68,no7_ar2_1,107.81528346842475,10.456661175,2,6
69,no7_ar3_1,107.81494086243572,67.203454922,1,10
70,no7_ar4_1,98.518372691737142,69.079391495,4,12
71,no7_ar5_1,90.622648836935397,62.689357158,9,8
72,nvs20,230.92216350458514,1.307702326,13,13
73,o7,131.65301327259772,289.869893613,5,22
74,o7_2,116.94590713844377,134.293909346,8,8
75,o7_ar25_1,140.41190577149021,257.506076209,9,12
76,o7_ar2_1,140.41195448060077,63.468023439,2,10
77,o7_ar3_1,137.93183187749335,300.035899569,3,15
78,o7_ar4_1,131.65312589337105,300.033190247,3,21
79,o7_ar5_1,116.94584373736997,296.530534862,4,6
80,o8_ar4_1,246.86843512698462,300.00090739399997,2,24
81,o9_ar4_1,275.4121761522772,300.000261317,5,28
82,p_ball_10b_5p_2d_h,18.718576319602438,33.841715952,30,32
83,p_ball_10b_5p_3d_h,44.004213613890443,182.87172848,66,69
84,p_ball_10b_5p_4d_h,73.072415509688767,306.76046521999996,98,81
85,p_ball_10b_7p_3d_h,135.84789643218554,311.627797585,63,46
86,p_ball_15b_5p_2d_h,6.5998393095566854,195.342054492,62,63
87,p_ball_20b_5p_2d_h,16.539253782736601,300.63190594499997,63,42
88,p_ball_20b_5p_3d_h,74.333414243075566,304.91592427999996,59,38
89,p_ball_30b_5p_2d_h,1.7976931348623157e+308,304.223116977,31,30
90,portfol_buyin,0.029423788743197763,0.24834576,13,13
91,portfol_card,0.032217649855338121,0.27967957299999996,12,12
92,portfol_roundlot,0.028282207269188921,11.530351004,112,104
93,prob10,10.312118485241777,0.07409424499999999,2,2
94,ravempb,269590.2142466018,0.41763161099999996,17,4
95,sssd08-04,182431.95640752866,0.165781112,2,3
96,sssd12-05,281861.9569395642,0.188207805,11,2
97,sssd15-04,205160.96706617996,0.1846546,8,4
98,sssd15-06,544144.66059281945,0.552841727,20,7
99,sssd15-08,563716.58160456864,0.56029425,17,5
100,sssd16-07,420109.22809275595,0.5264771079999999,22,8
101,sssd18-06,400563.99724158098,0.5633362949999999,10,7
102,sssd18-08,836744.04551375203,1.0745009189999999,20,11
103,sssd20-04,347859.91725300031,0.270554975,20,6
104,sssd20-08,495914.36613638408,0.96472377,32,11
105,sssd22-08,510379.42049447575,0.788911662,8,8
106,sssd25-04,300436.50475513871,0.197750499,5,3
107,sssd25-08,474794.22261281754,0.923976183,8,6
108,st_e14,4.5795824024367082,0.014844567,2,0
109,stockcycle,119948.68833333334,0.247166999,21,3
110,synthes1,6.0097514789467592,0.040000961,5,2
111,synthes2,73.035292274450399,0.043332636,8,2
112,synthes3,68.009428025650521,0.035086334000000004,7,1
113,tls2,5.2999999999999998,0.062127718000000005,11,1
114,tls4,8.3000000000000007,13.862855191000001,12,13
115,tls5,10.300000000000001,300.02597721,13,22
116,tls6,15.300000000000001,300.036074772,18,23
